,Article Title,Article Date
9,UPDATE 1-BP completes sale of Alaskan oil and gas producing properties to Hilcorp Energy,Jul 01 2020
0,METALS-Copper boosted by supply disruptions and glowing China data,Jul 01 2020
1,"GLOBAL MARKETS-Factory data, vaccine hopes power stocks higher; U.S. dollar dips",Jul 01 2020
2,UPDATE 2-European stocks end choppy session higher on vaccine hopes,Jul 01 2020
3,Remittances to Mexico jump in May to second highest level on record,Jul 01 2020
4,Mexican finance minister says recovering satisfactorily from coronavirus,Jul 01 2020
5,"US STOCKS-S&P, Nasdaq higher on vaccine hopes, improving economic data",Jul 01 2020
6,BP completes sale of Alaskan oil and gas producing properties to Hilcorp Energy,Jul 01 2020
7,WRAPUP 2-U.S. companies not rushing to rehire workers; rising COVID-19 cases threaten recovery,Jul 01 2020
8,UPDATE 2-European exchanges reject London's plan for shorter trading day,Jul 01 2020
9,GLOBAL ECONOMY-Manufacturing slump eases as world emerges from pandemic,Jul 01 2020
0,"UPDATE 1-Portugal gets record demand for new 15-year bond, raises $4.5 bln",Jul 01 2020
1,Dun & Bradstreet jumps 14% in U.S. market debut,Jul 01 2020
2,Fed's Daly sees 4-5 year recovery in best-case scenario,Jul 01 2020
3,UPDATE 2-German 10-year yields hit one-week high; Portugal sale receives record demand,Jul 01 2020
4,John Paulson to turn hedge fund firm into family office - Bloomberg News,Jul 01 2020
5,US loan issuance plummets in 2Q as market takes stock of new normal,Jul 01 2020
6,"UPDATE 1-Sterling gains as dollar sags, survey shows manufacturing recovery",Jul 01 2020
7,"US STOCKS-Wall Street gains on vaccine hopes, improving economic data",Jul 01 2020
8,UPDATE 1-German watchdog defends Wirecard oversight before lawmakers,Jul 01 2020
9,"Sovereign investors ill-prepared for crises, finds report",Jul 01 2020
0,"EMERGING MARKETS-Latam risk assets propped up by vaccine, economic recovery hopes",Jul 01 2020
1,Europe's ECM banker fees rise as firms tap shareholders for cash,Jul 01 2020
2,FOREX-Dollar falters as decent U.S. data curbs haven demand,Jul 01 2020
3,UPDATE 1-Swiss to quarantine travellers from high-risk COVID countries,Jul 01 2020
4,Britain's debt agency chief says don't rule out UK green bonds,Jul 01 2020
5,U.S. manufacturing activity hits 14-month high,Jul 01 2020
6,"UPDATE 7-Oil rises on signs of economic recovery, but new infections loom",Jul 01 2020
7,US STOCKS SNAPSHOT-Wall St opens higher on hopes of COVID-19 vaccine,Jul 01 2020
8,"TREASURIES-Yields climb as manufacturing data, FOMC minutes loom",Jul 01 2020
9,Boeing 737 MAX report may boost effort to reform U.S. airplane certification,Jul 01 2020
0,"Baltic index up for 24th session on stronger capesize, supramax rates",Jul 01 2020
1,Swiss to quarantine travellers from high-risk COVID countries,Jul 01 2020
2,UPDATE 1-Chile's economy hits another historic low in May,Jul 01 2020
3,"German watchdog worked with ECB, Bundesbank on Wirecard decisions",Jul 01 2020
4,Global tourism stands to lose up to $3.3 trillion from COVID-19: U.N. study,Jul 01 2020
5,Swiss extend short-time working to 18 months from 12,Jul 01 2020
6,US STOCKS-Wall Street set for subdued open as virus surge threatens recovery,Jul 01 2020
7,"UPDATE 1-Don't sacrifice Hong Kong for a banker's bonus, UK tells HSBC",Jul 01 2020
8,Digital asset security firm Curv raises $23 million,Jul 01 2020
9,"Don't sacrifice Hong Kong for a banker's bonus, UK tells HSBC",Jul 01 2020
0,U.S. private payrolls miss expectations in June - ADP,Jul 01 2020
1,Investors reckon China's grip is good for Hong Kong markets,Jul 01 2020
2,"UK will honour its word on immigration to those eligible in Hong Kong, says Raab",Jul 01 2020
3,UPDATE 2-UK says China's security law is serious violation of Hong Kong treaty,Jul 01 2020
4,GLOBAL MARKETS-Global shares begin H2 with a whimper despite positive data,Jul 01 2020
5,CANADA STOCKS-TSX futures dip after prior session rally,Jul 01 2020
6,U.S. employers announced more job cuts in June-report,Jul 01 2020
7,"Portugal receives record demand for new 15-year bond, to raise 4 bln euros",Jul 01 2020
8,UK cautions on Hong Kong travel due to China's security law,Jul 01 2020
9,US STOCKS-Futures retreat as virus surge threatens recovery,Jul 01 2020
0,Macy's reports $3.58 billion quarterly loss as COVID-19 hits business,Jul 01 2020
1,UK says China's security law is serious violation of Joint Declaration on Hong Kong,Jul 01 2020
2,"FOREX-Dollar edges up, euro slips; U.S. economic data in focus",Jul 01 2020
3,New York City comptroller tells companies 'to walk the walk' on racial equality,Jul 01 2020
4,UPDATE 1-SoftBank-backed Lemonade raises IPO price range,Jul 01 2020
5,Senior UK lawmaker says: West should not do business with Huawei,Jul 01 2020
6,U.S. to loan military hauler YRC Worldwide $700 mln for nearly 30% stake,Jul 01 2020
7,SoftBank-backed Lemonade raises IPO price range,Jul 01 2020
8,Cboe to launch Dutch derivatives hub in 2021,Jul 01 2020
9,"German economic rebound from coronavirus gathering pace, data suggests",Jul 01 2020
0,UPDATE 1-BOJ newcomer Nakamura says must 'respond early' to economic risks,Jul 01 2020
1,UPDATE 1-Easing lockdown lifts South Africa's Absa PMI in June,Jul 01 2020
2,"Munich prosecutors search Wirecard HQ, as probe widens",Jul 01 2020
3,GLOBAL ECONOMY-Manufacturing slump eases as world emerges from pandemic,Jul 01 2020
4,Negative-yielding corporate bond pile triples in June from May- Tradeweb,Jul 01 2020
5,"UPDATE 1-Pandemic must not stop move to scrap Libor, say regulators",Jul 01 2020
6,Easing lockdown lifts South Africa's Absa PMI in June,Jul 01 2020
7,UPDATE 2-Swedish central bank boosts QE programme to fight pandemic downturn,Jul 01 2020
8,CEE MARKETS-Currencies gain as economic contraction seen slowing,Jul 01 2020
9,BOJ newcomer Nakamura says must 'respond early' to economic risks,Jul 01 2020
0,"EMERGING MARKETS-EMEA stocks, FX muted as rising virus cases cloud economic outlook",Jul 01 2020
1,Sterling steadies as survey shows nascent manufacturing recovery,Jul 01 2020
2,GLOBAL MARKETS-Global shares begin H2 with a whimper despite positive data,Jul 01 2020
3,JGB superlong yields jump to over 1-year high as BOJ adjusts buying,Jul 01 2020
4,German unemployment rises less than expected in June,Jul 01 2020
5,German economy gradually recovering after pandemic slump - Ifo,Jul 01 2020
6,"FOREX-Dollar steadies, yen gains; European economic data in focus",Jul 01 2020
7,Germany's 10-year yield hits one-week high ahead of data,Jul 01 2020
8,"METALS-Shanghai copper hits 5-1/2-month high on potential rate cuts, China data",Jul 01 2020
9,"Pandemic must not stop move to scrap Libor, say regulators",Jul 01 2020
0,European shares kick off new quarter with subdued gains,Jul 01 2020
1,"UK will stand by the people of Hong Kong, minister says",Jul 01 2020
2,"Nikkei drops on gloomy BOJ tankan, COVID-19 concerns",Jul 01 2020
3,"REFILE-Ryanair to cut 3,500 jobs if pay cuts not agreed - CEO",Jul 01 2020
4,"UK to set out air bridge plans this week, business minister says",Jul 01 2020
5,"GLOBAL MARKETS-Stocks adrift, havens sought as virus fears cast shadow over recovery",Jul 01 2020
6,GLOBAL ECONOMY-Asia's factory pain eases as region emerges from pandemic,Jul 01 2020
7,"FOREX-Dollar bides time ahead of U.S. manufacturing, jobs data",Jul 01 2020
8,COLUMN-One hundred years of certitude? FAANG-like century bonds clean up: Mike Dolan,Jul 01 2020
9,ECB ready to adapt policy to coronavirus but reforms key to recovery- de Guindos,Jul 01 2020
0,Ride-hailing service Bolt expands to electric bikes with Paris launch,Jul 01 2020
1,UPDATE 1-Mexico revokes license of savings bank arm of Grupo Famsa,Jul 01 2020
2,Japan shares dip as BOJ tankan saps risk appetite,Jun 30 2020
3,GLOBAL MARKETS-Asian shares inch higher as data drives rebound hopes,Jun 30 2020
4,Carlyle to buy 25% of Bharti Airtel's data centre arm for $235 mln,Jun 30 2020
5,"Morning News Call - India, July 1",Jun 30 2020
6,GLOBAL ECONOMY-Asia's factory pain eases as region emerges from pandemic,Jun 30 2020
7,"FOREX-Dollar in holding pattern before U.S. manufacturing, jobs data",Jun 30 2020
8,"UPDATE 1-China's factory activity expands, but job losses quicken amid weak exports - Caixin PMI",Jun 30 2020
9,US Senate votes to extend small-business aid program through August,Jun 30 2020
0,China's June factory activity rises to 6-month high - Caixin PMI,Jun 30 2020
1,MEDIA-Tribune Publishing in talks to give hedge fund Alden Global another board seat - WSJ,Jun 30 2020
2,UPDATE 2-Pandemic sinks Japan business mood to lowest since 2009 crisis,Jun 30 2020
3,PRESS DIGEST- Financial Times - July 1,Jun 30 2020
4,UPDATE 2-Aeromexico becomes latest LatAm airline to file for bankruptcy,Jun 30 2020
5,RPT-Japan business mood worsens to 11-year low on virus woes - BOJ tankan,Jun 30 2020
6,UPDATE 2-Dun & Bradstreet raises $1.7 billion in upsized IPO,Jun 30 2020
7,FOREX-Dollar holds gains versus yen before major economic data,Jun 30 2020
8,PRESS DIGEST-British Business - July 1,Jun 30 2020
9,Mexico revokes license of savings bank arm of Grupo Famsa,Jun 30 2020
0,Japan's June factory activity extends declines for 14th month - PMI,Jun 30 2020
1,UPDATE 1-Pandemic sinks Japan business mood to lowest since 2009 financial crisis,Jun 30 2020
2,"GRAPHIC-Argentina, Angola among best emerging market quarterly performers",Jun 30 2020
3,Japan business mood worsens to 11-year low on virus woes - BOJ tankan,Jun 30 2020
4,"UPDATE 2-Brazil antitrust agency revokes decision blocking WhatsApp, Cielo venture",Jun 30 2020
5,GLOBAL MARKETS-Asian markets set for shaky start amid mixed cues,Jun 30 2020
6,Aeromexico begins voluntary process of Chapter 11 restructuring,Jun 30 2020
7,RPT-Firms in India downplay Chinese links amid wave of anti-China sentiment,Jun 30 2020
8,"Bolsonaro extends aid to Brazilians as jobs plummet, public debt soars",Jun 30 2020
9,TransferWise granted permission to offer investment services in UK,Jun 30 2020
0,European exchanges oppose shorter stock trading day sought by London firms,Jun 30 2020
1,UPDATE 1-Bid for Cirque du Soleil dismissed as 'pure fiction' by lenders,Jun 30 2020
2,Dun & Bradstreet raises $1.7 billion in upsized IPO -source,Jun 30 2020
3,Brazil's power distributors say $2.9 bln loan not enough to make up for COVID-19 losses,Jun 30 2020
4,GLOBAL MARKETS-World shares end stellar quarter but still down in 2020,Jun 30 2020
5,Canada's Cirque du Soleil receives court protection from creditors,Jun 30 2020
6,UBS loses Australian equities crown to Macquarie,Jun 30 2020
7,WRAPUP 1-Canadian stocks post best quarter since 2009 as investors see past GDP slump,Jun 30 2020
8,Bolsonaro signs decree extending emergency aid to Brazilians,Jun 30 2020
9,UPDATE 1-U.S. dollar share of reserves up in 1st qtr amid virus pandemic -IMF,Jun 30 2020
0,US STOCKS-S&P 500 ends best quarter since 1998 on a high note,Jun 30 2020
1,EMERGING MARKETS-Brazil stocks record best quarter since 2003; Real falls,Jun 30 2020
2,"UPDATE 2-Mnuchin sees support for crisis loans to hotels, restaurants",Jun 30 2020
3,US STOCKS-S&P 500 ends best quarter since 1998 on a high note,Jun 30 2020
4,U.S. dollar share of global reserves rises in Q1 -IMF,Jun 30 2020
5,UPDATE 1-U.S. Senate Republicans to push next coronavirus aid bill in late July,Jun 30 2020
6,TREASURIES-Longer-term yields rise amid month-end rebalancing trades,Jun 30 2020
7,GLOBAL MARKETS-Shares up on U.S. consumer data but COVID-19 spike dampens sentiment,Jun 30 2020
8,FOREX-Dollar edges lower amid uncertain U.S. outlook,Jun 30 2020
9,U.S. Senate Republicans to push next coronavirus aid bill in late July,Jun 30 2020
0,US STOCKS-S&P 500 poised for best quarter since 1998; Boeing weighs on Dow,Jun 30 2020
1,US STOCKS-S&P 500 on track for best quarter since 1998 even as virus fears grow,Jun 30 2020
2,UPDATE 3-UK's Johnson toughens Huawei rhetoric: talks of 'hostile state vendors',Jun 30 2020
3,UPDATE 2-European stocks record best quarter since March 2015 on recovery hopes,Jun 30 2020
4,GLOBAL MARKETS-Shares rise on upbeat data but COVID-19 spike dampens sentiment,Jun 30 2020
5,"Menswear shop T.M. Lewin to close all UK stores, go online only",Jun 30 2020
6,METALS-Copper set for best quarter in a decade on China rebound,Jun 30 2020
7,Brazil education firm Uniasselvi revives U.S. IPO plans - sources,Jun 30 2020
8,Swabs maker Copan open to new investors but with conditions - CEO,Jun 30 2020
9,Brazil's Guedes says he likes idea of a transactions tax,Jun 30 2020
0,UPDATE 4-Postmates revives IPO plans amid takeover interest -sources,Jun 30 2020
1,CANADA STOCKS-TSX set for best quarter since 2009 on recovery hopes,Jun 30 2020
2,"US STOCKS-S&P 500, Dow track best quarter since 1998 on stimulus-led rebound hopes",Jun 30 2020
3,UPDATE 1-Sterling rebounds from data-driven losses in choppy month-end trading,Jun 30 2020
4,UPDATE 1-Chile jobless rate hits 11.2% as coronavirus lockdown slams economy,Jun 30 2020
5,UPDATE 3-Italian yields hit lowest since March on economic recovery hopes,Jun 30 2020
